cntry,country_name,year,ess_round,trust_mean,religiosity_mean,eduyrs_mean,safety_mean,lrscale_mean,age_mean,urban_pct,diversity_pct,v2x_libdem,wb_gini,wb_unemployment,wb_gdp_per_capita_ppp,gov_exp_health,gov_exp_education,gov_exp_social,gov_exp_defence,gov_exp_economic,dim_openness,dim_transcendence,dim_conservation,dim_enhancement
BE,Belgium,2002,1,4.81,4.96,12.2,2.95,4.83,44.83,22.76,16.87,0.819,28.1,6.91,30282.2886450283,6.3,5.8,17.1,1.2,4.7,-0.16495666666666553,0.7569933333333339,-0.07083444444444398,-0.4033066666666658
BE,Belgium,2004,2,4.79,4.78,12.29,2.96,4.87,45.17,26.41,18.67,0.801,30.5,7.363,32059.6878637798,6.9,5.6,17.3,1.1,4.7,-0.21890166666666713,0.7460899999999997,0.023831666666665956,-0.4534850000000006
BE,Belgium,2006,3,4.98,4.92,12.1,2.97,4.94,46.11,20.97,17.46,0.82,28.1,8.246,35251.4450697593,6.7,5.6,17.1,1.0,5.6,-0.25809833333333315,0.7590766666666666,-0.02172055555555567,-0.33934833333333336
BE,Belgium,2008,4,5.13,4.77,12.67,3.0,4.93,46.46,21.93,20.28,0.844,28.4,6.976,37883.3319417819,7.3,5.7,17.5,1.1,6.1,-0.2783133333333332,0.7466200000000001,-0.009746666666666867,-0.31453
BE,Belgium,2010,5,5.04,4.54,12.68,3.02,4.98,46.76,25.59,20.42,0.839,28.4,8.293,39839.9772772918,7.8,6.0,18.9,1.0,6.8,-0.22579833333333368,0.7884433333333325,-0.04497611111111155,-0.3822816666666673
BE,Belgium,2012,6,5.1,4.49,12.96,2.99,5.04,47.33,24.08,24.56,0.837,27.5,7.542,42483.5250666788,7.9,6.2,19.5,0.9,7.8,-0.251561666666666,0.717046666666667,-0.01545055555555456,-0.3165283333333322
BE,Belgium,2014,7,5.02,4.5,13.26,2.98,5.05,46.94,22.1,24.02,0.843,28.1,8.523,45147.6429534057,8.0,6.3,19.7,0.9,7.3,-0.2474866666666665,0.7248800000000006,-0.012519999999999568,-0.3348699999999998
BE,Belgium,2016,8,5.25,4.54,13.78,3.04,4.96,47.02,26.39,24.86,0.838,27.6,7.83,48414.5518065681,7.6,6.3,19.5,0.8,6.7,-0.21483666666666754,0.7406466666666653,-0.055225555555556305,-0.33555333333333404
BE,Belgium,2018,9,5.17,4.59,13.67,3.04,4.96,47.91,22.98,26.67,0.837,27.2,5.941,52466.7330784599,7.6,6.2,19.3,0.8,6.7,-0.20136666666666678,0.7317499999999999,-0.08576666666666662,-0.30105000000000026
BE,Belgium,2020,10,5.52,4.23,13.99,3.13,5.14,48.99,23.43,25.58,0.828,26.0,5.545,56120.0958420466,8.6,6.5,22.4,0.9,7.7,-0.18443666666666672,0.8177299999999996,-0.12610333333333315,-0.35192
BE,Belgium,2023,11,5.54,4.15,13.95,3.03,5.08,49.35,23.29,23.53,0.816,26.8,5.547,71946.1447190292,7.9,6.3,20.1,0.9,6.8,-0.1763666666666667,0.8252999999999999,-0.09543333333333341,-0.41759999999999997
CH,Switzerland,2002,1,5.65,5.21,10.84,3.16,4.88,47.56,21.1,29.26,0.839,31.7,2.924,38704.9584597242,1.8,5.4,14.3,1.1,3.9,-0.02372166666666627,0.8084533333333339,-0.16046611111111067,-0.5321716666666665
CH,Switzerland,2004,2,5.7,5.49,10.71,3.18,5.03,48.08,19.01,30.13,0.843,31.6,4.316,40171.1805746279,1.8,5.4,13.6,1.0,3.9,-0.0806900000000003,0.8321266666666665,-0.10984555555555604,-0.5463233333333337
CH,Switzerland,2006,3,5.72,5.5,13.36,3.16,5.0,49.88,20.85,32.65,0.843,33.9,3.995,46265.6820679271,1.7,5.1,12.3,0.9,3.6,-0.1262866666666671,0.8257300000000001,-0.10262000000000009,-0.4823700000000002
CH,Switzerland,2008,4,5.7,5.03,11.35,3.25,4.92,48.59,18.58,35.46,0.852,33.8,3.35,53808.7841127066,1.7,4.9,11.9,0.8,4.0,-0.14222333333333426,0.8149433333333325,-0.11606777777777862,-0.4275066666666676
CH,Switzerland,2010,5,5.64,5.08,11.38,3.26,5.12,47.81,19.72,36.99,0.851,32.6,4.808,54426.2828092789,1.8,5.2,12.6,0.8,4.1,-0.16614333333333287,0.7673733333333335,-0.05545444444444373,-0.4349766666666661
CH,Switzerland,2012,6,5.68,4.99,11.79,3.23,5.15,47.41,15.94,37.17,0.861,31.6,4.491,59440.9158607666,2.0,5.3,12.6,0.8,4.1,-0.14044333333333384,0.6643733333333333,-0.06858777777777814,-0.35082666666666684
CH,Switzerland,2014,7,5.72,4.98,11.06,3.26,5.14,47.36,18.48,41.12,0.861,32.5,4.826,63417.0438110319,2.1,5.4,13.2,0.8,3.9,-0.10428,0.6928866666666664,-0.07066888888888911,-0.4304633333333334
CH,Switzerland,2016,8,5.99,4.79,11.3,3.33,5.06,47.83,15.15,41.38,0.858,33.0,4.918,67350.7518747757,2.2,5.5,13.4,0.8,3.9,-0.07227833333333396,0.7206466666666662,-0.08196722222222282,-0.4892783333333339
CH,Switzerland,2018,9,5.89,4.69,11.27,3.38,5.1,47.5,17.57,45.07,0.867,33.1,4.713,70688.8187491194,2.1,5.4,13.0,0.8,3.8,-0.08522333333333254,0.734526666666667,-0.08307888888888855,-0.4820733333333327
CH,Switzerland,2020,10,6.04,4.67,11.52,3.41,5.04,49.59,18.13,44.19,0.856,33.7,4.817,72997.8239503282,2.6,5.8,16.6,0.9,4.3,-0.044931666666667404,0.7822433333333318,-0.10117611111111202,-0.5630816666666676
CH,Switzerland,2023,11,5.84,4.48,11.85,3.37,5.04,50.1,17.79,43.5,0.841,33.8,4.043,95141.5960943632,2.2,5.6,13.1,0.9,3.9,-0.019761666666666972,0.8273466666666671,-0.10008388888888871,-0.6475783333333334
DE,Germany,2002,1,4.61,3.87,12.83,2.88,4.6,47.31,33.18,13.94,0.857,29.8,8.482,29513.6823267102,6.6,4.1,20.3,1.0,5.0,-0.23413666666666622,0.7914800000000008,-0.01776999999999962,-0.41361999999999943
DE,Germany,2004,2,4.75,3.89,12.92,2.89,4.5,46.84,32.93,14.56,0.857,30.2,10.727,31753.1720592803,6.4,4.1,20.4,1.0,4.5,-0.24937000000000017,0.7627133333333327,-0.028614444444444942,-0.345736666666667
DE,Germany,2006,3,4.71,3.86,13.19,2.96,4.41,48.0,33.36,14.17,0.869,31.0,10.277,34741.3353426224,6.3,4.0,19.6,1.1,4.2,-0.25328833333333334,0.7286700000000002,-0.03582166666666664,-0.29500499999999996
DE,Germany,2008,4,4.84,4.02,13.63,3.0,4.54,48.96,31.88,16.76,0.869,30.8,7.508,38443.5386278958,6.4,3.9,18.5,0.9,4.4,-0.2588533333333333,0.8124133333333332,-0.07766444444444447,-0.3076366666666668
DE,Germany,2010,5,4.65,3.92,13.14,2.98,4.54,47.61,22.64,18.31,0.862,30.2,7.043,39726.098692395,6.9,4.3,19.6,1.0,5.8,-0.2720983333333325,0.8338100000000015,-0.029598333333332505,-0.3812649999999993
DE,Germany,2012,6,4.91,4.16,13.81,2.98,4.51,48.7,29.18,19.1,0.867,31.1,5.372,44229.3941921739,6.7,4.2,18.5,1.0,4.5,-0.2573683333333328,0.83474,-0.08676833333333296,-0.31853499999999957
DE,Germany,2014,7,5.09,3.93,14.16,3.02,4.5,49.9,29.67,18.63,0.847,30.8,4.979,47938.7968210418,7.0,4.2,18.4,0.9,4.4,-0.2071966666666666,0.9498200000000008,-0.08062999999999976,-0.5180799999999997
DE,Germany,2016,8,5.28,3.94,14.26,2.92,4.4,48.56,28.9,21.07,0.85,31.4,4.104,51569.9016841199,7.1,4.1,19.1,0.9,4.4,-0.15552499999999916,0.920183333333334,-0.10923611111111035,-0.523041666666666
DE,Germany,2018,9,5.4,4.16,14.29,3.0,4.39,49.65,31.42,22.45,0.834,31.9,3.384,56273.0405627017,7.0,4.2,18.9,1.0,4.5,-0.1727850000000002,0.9500566666666668,-0.10314055555555557,-0.5361683333333334
DE,Germany,2023,11,5.19,3.92,14.47,3.05,4.55,50.38,30.69,25.29,0.812,33.7,3.071,71684.0311875583,7.5,4.5,19.7,1.1,5.8,-0.14205833333333281,0.9757666666666673,-0.08174722222222182,-0.640058333333333
ES,Spain,2002,1,4.86,4.46,10.21,2.88,4.42,48.6,30.11,5.9,0.81,31.8,11.146,24377.8417076394,5.1,4.0,12.6,1.1,4.9,-0.3763933333333325,0.7102566666666674,0.23511777777777856,-0.49834333333333225
ES,Spain,2004,2,4.89,4.43,11.15,2.97,4.4,45.1,30.45,9.5,0.803,33.3,11.09,26159.7864720491,5.5,4.1,12.8,1.1,5.4,-0.4106749999999983,0.8256666666666681,0.18816944444444594,-0.49190833333333184
ES,Spain,2006,3,5.12,4.58,11.68,3.0,4.5,45.88,26.76,9.81,0.805,33.5,8.452,30748.7396326091,5.6,4.0,12.7,1.0,5.0,-0.4094766666666665,0.91629,0.2294233333333334,-0.64621
ES,Spain,2008,4,4.9,4.51,10.88,2.96,4.54,46.83,25.54,10.48,0.817,34.2,11.254,33349.942580613,6.1,4.2,13.8,1.0,5.5,-0.4456833333333335,1.0055166666666664,0.2586944444444444,-0.7250333333333334
