cntry,region,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,below_min_n
AT,AT11,98,-0.01281327873739002,0.4503529321712484,0.7516288845981951,0.08961245192089337,0.3917282720483791,0.7674773678729713,-0.7384500577553573,-0.01646465649026879,-0.5437827168465031,-1.3566973545969037,-0.6377644500602657,0.6009909083847218,0.416272697280748,-0.377457357122813,False
AT,AT12,478,0.28863299229560774,0.5150371383993076,0.7709971333096799,-0.2548542384039068,-0.012456959099260645,0.5017097113239787,-0.8269717766813635,-0.15497507003540015,-0.2456740670160462,-0.8600410740128095,-0.27236071624441605,0.6430171358544937,0.07813283794027039,-0.4909734233583818,False
AT,AT13,401,0.5757819744443118,0.5668220705441775,0.720752048539788,-0.44129229818782634,-0.062312811522157535,0.47877690329508604,-0.7454533234974214,-0.1923809891515992,-0.2222452632509962,-0.9579774159300041,-0.2014802349122295,0.6437870595419828,-0.008276068804965894,-0.4689171563245103,False
AT,AT21,126,0.3044074892782599,0.48427288953340875,0.7847255507591736,0.038013415758445086,-0.3025587194412484,0.5750193922622343,-0.6881067635184228,-0.2494446954041125,-0.05411923668342941,-1.1588677705190122,-0.30285983930806043,0.6344992201462911,0.10349136285981038,-0.4691033032273601,False
AT,AT22,347,0.3187031861896858,0.6643033557741861,0.8367130646599035,-0.26050366151055904,-0.1566075184230155,0.6698205942397292,-0.7532660699942332,-0.4023978753490967,-0.09921909318301533,-1.1486336491046085,-0.3097165186993127,0.7505082102170448,0.08423647143538489,-0.5778319726716649,False
AT,AT31,413,0.2876082934578283,0.4885965118334284,0.6760773487167293,-0.3377648368828709,-0.2671228749203013,0.6788612633876723,-0.5522011520003116,-0.35503390454362677,-0.0469400277373903,-0.8193293035714199,-0.19288701261699395,0.5823369302750789,0.025653142331197677,-0.4536175282719693,False
AT,AT32,151,0.23506196569913143,0.4221549187439934,0.6622377795669419,-0.21004927889709737,-0.0989698258343377,0.5968619919449017,-0.5355212796022866,-0.41653046433606694,-0.03228187132461104,-0.821810356564063,-0.20634342072984752,0.5421963491554677,0.09594762907115557,-0.4760258719691768,False
AT,AT33,190,0.584300848754234,0.7319394784066191,0.8352655753480517,-0.2323256093237699,-0.41279773299536915,0.514033090595514,-0.7817002570047127,-0.4848670064365606,-0.17816606346510125,-0.9669191514925038,-0.18692812206779028,0.7836025268773353,-0.04369675057454165,-0.6332836317206367,False
AT,AT34,109,0.4413998508002886,0.38345036761373585,0.3388086728879998,0.1039727271039465,0.030140770813941047,0.44533633658360255,-0.5524711429279904,-0.36851163359569666,-0.2518289788321134,-0.7616284850447833,-0.19068587102553605,0.3611295202508679,0.19314994483383008,-0.46049138826184344,False
BE,BE10,104,0.43778424796272086,0.45953956678950175,0.6072383439924504,-0.007056669081389685,-0.3366687624116687,0.1658462414191969,-0.9515241594959886,-0.2782548026042997,0.22466194541417084,-0.5480299030662478,0.03813876343688135,0.5333889553909762,-0.0592930633579538,-0.6148894810501441,False
