group,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,group_order,cntry,variable,var_label
15-29,318,0.289601942259398,0.43746814307402504,0.720203236135486,-0.1803373853116496,-0.6088950064425103,0.00042996084607900255,-0.8775203529183805,-0.07951045100396116,0.29148506132344343,-0.2160722061032023,0.12167159915987974,0.5788356896047555,-0.26293414363602696,-0.47851540196117076,0,BE,age,Age group
30-44,337,0.3583033588182758,0.5911798084919871,0.7729579524878142,0.03744385442305471,-0.46111150614944374,0.14092270137012955,-1.048053104563623,-0.4158600892158601,0.2781619314675179,-0.5397878236546619,0.03222582221037724,0.6820688804899007,-0.09424831678541983,-0.7319565968897416,1,BE,age,Age group
45-59,374,0.46284319422884374,0.6301093569565414,0.8149254157895349,0.053828934241165145,-0.2549715551016154,0.1328764918143225,-1.144854469638612,-0.5652558823420765,0.15280693028464418,-0.6040937346958005,0.003852129939229132,0.7225173863730382,-0.022755376348709243,-0.8550551759903443,2,BE,age,Age group
60-74,381,0.3528797403984625,0.7177371932758686,0.9042492348535611,0.3269755864258145,-0.06976269978296082,0.4289146560558742,-1.2544457455634115,-0.8006503939285116,0.02931992477898367,-0.9915933502718289,-0.20313122836479422,0.8109932140647149,0.22870918089957595,-1.0275480697459616,3,BE,age,Age group
75+,164,0.3496288697722382,0.6856947777804261,0.7913993300332636,0.43330767206799065,0.03722560388495112,0.4822719489085425,-1.214824771384559,-0.7032605437570795,-0.12970596468232204,-1.0822680163482894,-0.28744837041945775,0.7385470539068448,0.3176017416204947,-0.9590426575708192,4,BE,age,Age group
City & suburbs,365,0.32237066533044695,0.5485188957777402,0.7034548056978498,0.08946787280610353,-0.27412401268458014,0.14995884460047704,-0.9529001308624462,-0.4321912511685793,0.11931159817261897,-0.5502219434055883,-0.03617989330084079,0.625986850737795,-0.011565765092666519,-0.6925456910155128,0,BE,domicil,Urbanisation
Town,371,0.3410789601050508,0.6179431489096702,0.7978616023980533,0.07002469976869197,-0.38150710280398004,0.24382462111432718,-1.1403286726059965,-0.47509838805495297,0.20494232641580057,-0.5896732160170323,-0.014550643165393666,0.7079023756538617,-0.022552593973653647,-0.8077135303304747,1,BE,domicil,Urbanisation
Village / rural,840,0.39784885299658446,0.6177864773771105,0.8461606042520501,0.1073434894912247,-0.2957592739843636,0.20852933869299017,-1.1396854993610408,-0.515165245918563,0.15720111265673076,-0.6934529115018496,-0.04613431528284478,0.7319735408145802,0.006704518066617097,-0.8274253726398021,2,BE,domicil,Urbanisation
Low (<12 yrs),315,0.20074582000725352,0.5320788279343162,0.7111928086654445,0.2560485112780908,-0.20196481896907215,0.3513303380637273,-1.066993554540241,-0.4550537422125817,0.08728586148865537,-0.6848383732884841,-0.13226889726419175,0.6216358182998803,0.13513801012424861,-0.7610236483764112,0,BE,education,Education
Medium (12-15 yrs),703,0.3501910833127359,0.5408353690127536,0.8083171861740525,0.10917834050492964,-0.3125561719343668,0.28120714031635546,-1.0662398723257283,-0.49853498859103407,0.1688856895785588,-0.6545376812843553,-0.045153636131020254,0.6745762775934031,0.02594310296230611,-0.7823874304583813,1,BE,education,Education
High (16+ yrs),550,0.5275119408936941,0.7441022832861591,0.8669539599900064,-0.07032461815592873,-0.4086773917742547,-0.02782161357363394,-1.1549578252772215,-0.4899979395196645,0.19881765878103272,-0.5526438695262953,0.05789524338281058,0.8055281216380827,-0.16894120783460578,-0.822477882398443,2,BE,education,Education
Men,802,0.37740898295518405,0.5439825731738938,0.720036381432853,0.09758088226574105,-0.32112230194405406,0.13190195664923013,-1.0087602015162536,-0.46119266820170035,0.18080082150333984,-0.5320047575487389,0.008735015636595008,0.6320094773033734,-0.030546487676360964,-0.7349764348589769,0,BE,gender,Gender
Women,775,0.3539125052293436,0.6557128341744993,0.8731065709411919,0.0907172585427367,-0.30186643481993747,0.27165953935023723,-1.1731323901417363,-0.507533635682622,0.13760403738685625,-0.7297767888567044,-0.07942008208016817,0.7644097025578457,0.020170121024345494,-0.8403330129121792,1,BE,gender,Gender
Low (0-3),709,0.4813213249984908,0.6186833001359453,0.7996506602006064,-0.09716968937020043,-0.3669992922752904,0.10517598521132336,-1.1140300192074917,-0.5020737094957819,0.2673901206911161,-0.5010507565435803,0.08255356304867549,0.709166980168276,-0.1196643321447225,-0.8080518643516369,0,BE,religiosity,Religiosity
Medium (4-6),412,0.30598975066113004,0.5513463324733463,0.7971198765213123,0.13493912137657701,-0.2545229711232726,0.2576833938824593,-1.0130304766190716,-0.48950624257302505,0.16374607397608526,-0.7243240699169082,-0.08486274842656427,0.6742331044973294,0.04603318137858791,-0.7512683595960482,1,BE,religiosity,Religiosity
High (7-10),454,0.2585527116442559,0.6224856066015467,0.8027727355153291,0.3226356475268183,-0.2836093402573624,0.28758788679253305,-1.1327810735758121,-0.45408129598641983,0.002118802223285049,-0.7434220224921922,-0.1609168362082171,0.7126291710584379,0.10887139802066301,-0.7934311847811162,2,BE,religiosity,Religiosity
15-29,338,0.22229167080436696,-0.02195934704520809,0.29223161002042997,-0.7151666231993635,-0.5380679924033589,0.0349031757253883,-0.1093391787012034,0.3213061072475894,0.45403316597692794,0.07259044363899318,0.2496384268067627,0.13513613148761097,-0.40611047995911137,0.105983464273193,0,BG,age,Age group
30-44,425,0.24347916768711259,0.08939645045493325,0.3578886541741979,-0.4416521937068325,-0.23573821535453943,0.27416428341297094,-0.47679116517437653,0.21631119332072268,0.07559485205021879,-0.15995840409020773,0.05303853854904122,0.22364255231456562,-0.13480782313475015,-0.1302399859268269,1,BG,age,Age group
45-59,600,0.09139216533846083,0.16965484977720316,0.4664569779794102,-0.11373022398635786,-0.03773007449780452,0.4499417161958447,-0.5790443823815833,0.08613722511787739,-0.2162802743430755,-0.3993343441964424,-0.1747408177336857,0.3180559138783067,0.10010883363049074,-0.2464535786318529,2,BG,age,Age group
60-74,572,0.03700028409474687,0.31690449711615826,0.5268814859299912,0.14386462132915984,0.2191045573671099,0.5960641288177767,-0.883450673917701,0.01615539774990547,-0.5355456757869188,-0.5949922975798962,-0.36451256309068936,0.4218929915230747,0.32046626422166674,-0.43364763808389784,3,BG,age,Age group
75+,284,-0.1784566796653754,0.5845843990924788,0.6996339909988614,0.5018545662025753,0.5564761215286496,0.9325634979586164,-1.2242422194125242,-0.1879556207778254,-0.9542843817647882,-0.9991830506190604,-0.7106413706830748,0.6421091950456701,0.6669457132458516,-0.7060989200951748,4,BG,age,Age group
City & suburbs,822,0.23159376181075184,0.096797940066974,0.38891097455166157,-0.43070524844527713,-0.22460957070053933,0.30148000912080253,-0.3737311772803554,0.2549342564296381,-0.029858838734587594,-0.2678773032371681,-0.022047460053667943,0.24285445730931776,-0.11739516818300762,-0.059398460425358686,0,BG,domicil,Urbanisation
Town,613,0.098205098786317,0.19818319225375558,0.48457715499233533,-0.11401022669318436,-0.017492340360828133,0.42147128054539884,-0.7115500107655562,0.05237002190724858,-0.18569109250178534,-0.3220933853507865,-0.13652645968875163,0.3413801736230454,0.09665623783046211,-0.3295899944291538,1,BG,domicil,Urbanisation
Village / rural,787,-0.08114152752712368,0.3501941214372682,0.5183709895980693,0.18693148341349541,0.19657881688927942,0.6158919630563967,-0.8815416214773578,-0.05591686662994406,-0.4292913142491434,-0.5888573227228665,-0.3664300548330445,0.43428255551766876,0.33512789877417726,-0.46872924405365096,2,BG,domicil,Urbanisation
Low (<12 yrs),796,-0.1197110082545815,0.3328499605413744,0.5890880962429873,0.13856743200684624,0.1397022700536094,0.6437851616035782,-0.8622186277060525,-0.09559339837279272,-0.30518890054170444,-0.6239905083330693,-0.34963013904311846,0.4609690283921808,0.3096571297388671,-0.4789060130394226,0,BG,education,Education
Medium (12-15 yrs),853,0.24309998295890956,0.1355080318998751,0.37509550794606683,-0.3163381171707989,-0.20030135884863293,0.26512113835154477,-0.46758062631014524,0.19711587852939916,-0.0928705001297258,-0.20746893738422797,-0.019079818185014738,0.25530176992297093,-0.0838394458892957,-0.13523237389037304,1,BG,education,Education
High (16+ yrs),531,0.2957861964632814,0.047902367011420435,0.3380870032532267,-0.4993915812138417,-0.11241930953315209,0.3221892631770687,-0.4134653774911235,0.34482386095182727,-0.13701056607044218,-0.2137114525097999,-0.018311940705653548,0.19299468513232354,-0.09700192962653145,-0.034320758269648144,2,BG,education,Education
Men,1057,0.27764800613992147,0.09167588289127467,0.3856807124244359,-0.38894192306658,-0.19719222512994072,0.27339101498575147,-0.4556667211339213,0.19406177099243715,-0.036887733328687285,-0.18453340700507476,0.018742288602053143,0.23867829765785528,-0.10382091949335337,-0.13080247507074205,0,BG,gender,Gender
Women,1165,-0.055818615172346465,0.29656979454673277,0.5146007252712065,0.04294717254030112,0.09425674525435601,0.566250774145689,-0.7601263188785748,0.03047793676120813,-0.328788473302182,-0.5525498368925341,-0.31238564178902084,0.40558525990896965,0.235828037071757,-0.3648241910586834,1,BG,gender,Gender
Low (0-3),988,0.26148525757430957,0.09824725974675518,0.4021710244951827,-0.5016677092698943,-0.23134343122070422,0.2938737284762811,-0.35314818583247426,0.20645289036011621,-0.018898724275272352,-0.20598760342606387,0.012199643290991118,0.25020914212096895,-0.14592840749680083,-0.07334764773617902,0,BG,religiosity,Religiosity
Medium (4-6),788,0.028281498836378496,0.2569873421958266,0.4907451011139162,0.05662030212643754,0.0643711094485859,0.4697933768318045,-0.8100338810695632,0.02582176757546872,-0.28714907898387804,-0.42927506974912094,-0.22938088329887352,0.37386622165487143,0.19692826280227604,-0.3921060567470471,1,BG,religiosity,Religiosity
High (7-10),435,-0.1488264863496472,0.34008656113649066,0.5096436751388764,0.28560485295748944,0.2196989674453855,0.6773767040514188,-0.9123928131907836,0.008633355980444624,-0.43146209279590125,-0.7031094984208599,-0.4277993591888028,0.4248651181376836,0.39660059018311433,-0.4518797286051695,2,BG,religiosity,Religiosity
15-29,219,0.446398642586829,0.5101720713273491,0.8555904002430608,-0.4231120172877823,-0.7461702923905655,-0.029237828362264667,-0.8866151628944904,-0.3845022474443531,0.5557929015542921,-0.18498734729664232,0.2724013989481596,0.6828812357852049,-0.3995067126802042,-0.6355587051694217,0,CH,age,Age group
30-44,347,0.5521305529839631,0.6728583643239673,0.8614943743488983,-0.13538032282030646,-0.6323843157272088,0.16546545989147343,-1.019897211155626,-0.5710015248251177,0.23656944656153095,-0.4792700107864055,0.10314332958636281,0.7671763693364327,-0.20076639288534728,-0.7954493679903719,1,CH,age,Age group
45-59,338,0.739129939569372,0.7649722055372068,0.9060258756493214,-0.01267064893861555,-0.6016947785736481,0.13769113781773223,-1.0150984922030486,-0.675330847191296,0.0730830023843317,-0.7176674979975227,0.031515147985393635,0.8354990405932641,-0.15824407171975513,-0.8452146696971723,2,CH,age,Age group
60-74,293,0.7446851276762668,0.7945535263894,0.8813571135631253,0.14617895723629648,-0.5003595827258597,0.2444600888837862,-1.0517275148110377,-0.8690561592147314,0.08915539303433691,-0.8636823602049879,-0.00994727983146141,0.8379553199762627,-0.036573512201925666,-0.9603918370128847,3,CH,age,Age group
75+,163,0.5812426556214865,0.7595007175087528,0.8737748337214524,0.3790791765821228,-0.3349922270913549,0.4445884307473693,-1.1890309091938351,-0.9668286532824534,0.1781609853466226,-1.1103840402001315,-0.11699346641067411,0.8166377756151026,0.16289179341271234,-1.0779297812381443,4,CH,age,Age group
City & suburbs,242,0.6940164401996083,0.7523600307441178,0.8981402855422127,-0.11557998300654196,-0.6287599226260829,0.1399881482228498,-1.1706022659885995,-0.647477394621606,0.23175045018286794,-0.5406597436381576,0.12836904891477288,0.8252501581431653,-0.20145058580325834,-0.9090398303051027,0,CH,domicil,Urbanisation
Town,327,0.5557539569476727,0.6486743654424795,0.8333754804674394,-0.12928775885396082,-0.5459493773840218,0.21244271222634903,-1.0233740767714161,-0.6435775660079445,0.27642816377085844,-0.5381258450814774,0.09801875854568459,0.7410249229549594,-0.15426480800387787,-0.8334758213896803,1,CH,domicil,Urbanisation
Village / rural,797,0.6196473309112606,0.700731382581574,0.8860961604157563,0.013826362259347254,-0.5912783052657085,0.15883740595275658,-0.9691539263237936,-0.67711991968133,0.19502165580082487,-0.6948842395367065,0.03992824905845964,0.7934137714986651,-0.1392855185400776,-0.8231369230025617,2,CH,domicil,Urbanisation
Low (<12 yrs),743,0.5812287557422396,0.6294189378487375,0.8671320251980542,0.034139511815973606,-0.5352546477427159,0.25865898838476786,-0.9931901124782931,-0.6979367670929976,0.24903146438375776,-0.7220786113421952,0.03606053626126737,0.7482754815233958,-0.08060438587094428,-0.8455634397856453,0,CH,education,Education
Medium (12-15 yrs),358,0.5936931683007818,0.7387393803002923,0.8844038304945682,-0.07578118997888064,-0.6176079042735592,0.06982495735708176,-1.0354057209356695,-0.6706429052646513,0.2580685283402717,-0.5141333719777763,0.11254277488775902,0.8115716053974303,-0.20785471229845268,-0.8530243131001605,1,CH,education,Education
High (16+ yrs),262,0.7660088389824162,0.8371566909248701,0.8945496708823839,-0.2231352074137601,-0.6935228195156498,0.04774106351420611,-1.0799827740438317,-0.5630034150017044,0.08893116032171076,-0.5247969957134406,0.11004766786356217,0.8658531809036271,-0.2896389878050679,-0.821493094522768,2,CH,education,Education
Men,690,0.5979027997765771,0.6178017872627094,0.7898357534905598,0.004274532756170647,-0.5585602639229768,0.06480661394700687,-0.9552459863228698,-0.5538252734053595,0.21558971492353257,-0.5486927501319634,0.08826658818938216,0.7038187703766347,-0.16315970573993308,-0.7545356298641146,0,CH,gender,Gender
Women,677,0.6392213244074229,0.7751285106234369,0.9593112733344953,-0.09198211238505404,-0.6158163580407867,0.2694572217837196,-1.0821726627368664,-0.7723410522566532,0.2276091912759264,-0.7057480403912727,0.053694158430692224,0.8672198919789661,-0.14589004343361872,-0.9272568574967598,1,CH,gender,Gender
French-speaking (Romandie),273,0.5145670081263641,0.6591383470458837,0.7426539743390208,-0.12382265797892397,-0.5866541299293486,0.21485073657076378,-1.0728938699238513,-0.5949004503048025,0.3800646458780448,-0.4725300130105254,0.14070054699796117,0.7008961606924523,-0.1652086837791696,-0.8338971601143269,0,CH,language,Language region (Switzerland)
German-speaking,707,0.6662339942025535,0.7125643283637918,0.9209561374821854,-0.033703843205442126,-0.6156801783193031,0.1644739563288554,-1.005567128870123,-0.6705796230036768,0.18484920030988267,-0.6945380236438279,0.05218172362286941,0.8167602329229886,-0.1613756246885097,-0.8380733759369,1,CH,language,Language region (Switzerland)
Italian-speaking (Ticino),41,0.6511252131490939,0.6558887845688633,0.8414025270743608,-0.38182933106572564,-0.6170573783641327,0.05569996502779164,-0.8117064520151817,-0.40522981718488865,-0.08057730526169679,-0.31218634092718106,0.08612052232007196,0.748645655821612,-0.3143955814673555,-0.6084681346000352,2,CH,language,Language region (Switzerland)
Mixed FR/DE (Mittelland),346,0.5838198350026819,0.7002496252714266,0.8831139776281035,0.06203368904949751,-0.5120402710930948,0.15881900247205993,-1.047770677309412,-0.7582856165460748,0.23494541357583296,-0.6566470003124221,0.05403941608869757,0.7916818014497652,-0.09706252652384578,-0.9030281469277434,3,CH,language,Language region (Switzerland)
Low (0-3),539,0.7271407190748979,0.7768068769993982,0.879861400568169,-0.29307789180999166,-0.7262270786520164,0.04099275651439043,-1.016167981867055,-0.6619427009989811,0.30301308921227815,-0.4351182028078641,0.1983452018264373,0.8283341387837836,-0.32610407131587255,-0.8390553414330181,0,CH,religiosity,Religiosity
